sale_id,sales_date,store_name,store_city,store_region,product_name,category,brand,unit_price,quantity,customer_name,gender,age_group,city
1,2023-11-24,Store_8,Phoenix,Midwest,Notebook,Beauty,Nike,190.4,3,Customer_519,Female,46-60,Houston
2,2023-02-27,Store_8,Phoenix,Central,Laptop,Stationery,Colgate,475.6,3,Customer_508,Male,60+,Houston
3,2023-01-13,Store_3,Houston,Midwest,Notebook,Beauty,LG,367.34,4,Customer_735,Female,36-45,New York
4,2023-05-21,Store_2,Los Angeles,Midwest,Jeans,Electronics,Samsung,301.34,3,Customer_741,Male,46-60,Los Angeles
5,2023-05-06,Store_8,New York,Central,Sneakers,Beauty,Nike,82.23,5,Customer_156,Female,26-35,Chicago
6,2023-04-25,Store_6,Houston,South,LED Bulb,Electronics,Samsung,82.22,3,Customer_952,Male,60+,New York
7,2023-03-13,Store_4,Phoenix,East,LED Bulb,Stationery,Nike,33.75,5,Customer_941,Male,18-25,Chicago
8,2023-02-22,Store_6,New York,Midwest,Smartphone,Beauty,Apple,433.76,3,Customer_201,Female,26-35,Los Angeles
9,2023-12-13,Store_5,Los Angeles,Central,T-Shirt,Beauty,Apple,302.55,5,Customer_812,Female,26-35,Chicago
10,2023-10-07,Store_1,Phoenix,West,Toothpaste,Apparel,Nike,355.5,3,Customer_765,Male,46-60,Phoenix
11,2023-02-14,Store_9,Houston,Central,Notebook,Beauty,Apple,15.19,3,Customer_832,Female,36-45,New York
12,2023-10-30,Store_4,Phoenix,West,Toothpaste,Electronics,Apple,485.11,2,Customer_574,Female,60+,Chicago
13,2023-08-05,Store_9,Chicago,Midwest,Toothpaste,Stationery,Nike,417.06,5,Customer_843,Male,60+,Houston
14,2023-01-17,Store_7,Houston,West,Toothpaste,Stationery,Colgate,110.11,5,Customer_358,Male,36-45,New York
15,2023-01-16,Store_7,Phoenix,West,Notebook,Beauty,Philips,95.0,5,Customer_867,Male,36-45,New York
16,2023-02-17,Store_4,Houston,South,Jeans,Stationery,Nike,95.79,1,Customer_539,Female,18-25,Phoenix
17,2023-04-22,Store_2,Los Angeles,West,T-Shirt,Apparel,Apple,155.6,3,Customer_386,Female,26-35,New York
18,2023-04-30,Store_8,Chicago,West,Shampoo,Beauty,Apple,264.75,5,Customer_879,Male,26-35,New York
19,2023-09-16,Store_8,Chicago,Central,Sneakers,Beauty,LG,218.81,1,Customer_338,Female,46-60,Chicago
20,2023-11-05,Store_10,Phoenix,West,Shampoo,Beauty,Philips,149.16,2,Customer_994,Female,60+,Chicago
21,2023-01-14,Store_8,Houston,Midwest,LED Bulb,Apparel,Colgate,307.87,5,Customer_678,Male,18-25,New York
22,2023-10-15,Store_2,Houston,Central,Shampoo,Electronics,Colgate,74.05,5,Customer_250,Female,26-35,New York
23,2023-04-12,Store_8,Houston,South,Notebook,Electronics,Samsung,149.61,1,Customer_856,Male,60+,Chicago
24,2023-11-29,Store_8,Chicago,Central,LED Bulb,Beauty,Apple,186.35,3,Customer_637,Male,36-45,Los Angeles
25,2023-12-26,Store_6,Phoenix,South,T-Shirt,Stationery,Philips,230.75,2,Customer_158,Female,18-25,New York
26,2023-10-07,Store_2,Houston,Midwest,T-Shirt,Apparel,Nike,393.66,5,Customer_887,Male,26-35,New York
27,2023-08-03,Store_8,Phoenix,West,LED Bulb,Apparel,Puma,103.84,3,Customer_491,Male,46-60,Phoenix
28,2023-04-23,Store_1,New York,Midwest,Shampoo,Beauty,Apple,259.55,2,Customer_675,Male,36-45,Chicago
29,2023-08-18,Store_2,Los Angeles,South,Toothpaste,Beauty,Puma,298.25,4,Customer_832,Female,26-35,Phoenix
30,2023-10-29,Store_7,Los Angeles,Midwest,T-Shirt,Beauty,Philips,27.99,4,Customer_398,Male,36-45,Houston
31,2023-05-23,Store_7,Los Angeles,Midwest,T-Shirt,Electronics,Nike,305.73,2,Customer_567,Female,26-35,New York
32,2023-01-04,Store_1,Houston,West,Mixer,Electronics,Puma,89.41,1,Customer_465,Male,18-25,Los Angeles
33,2023-03-23,Store_9,Los Angeles,Midwest,Toothpaste,Electronics,Philips,37.2,2,Customer_680,Female,26-35,Houston
34,2023-12-24,Store_9,Houston,Midwest,Laptop,Apparel,Puma,474.7,2,Customer_95,Male,26-35,Houston
35,2023-08-05,Store_1,Los Angeles,Midwest,Shampoo,Beauty,LG,482.99,1,Customer_268,Male,36-45,Phoenix
36,2023-06-24,Store_2,Chicago,Midwest,Smartphone,Beauty,Colgate,405.16,1,Customer_719,Male,36-45,Los Angeles
37,2023-05-23,Store_10,Houston,South,Laptop,Beauty,LG,155.78,3,Customer_81,Male,26-35,Chicago
38,2023-03-21,Store_10,Houston,Midwest,Notebook,Electronics,Samsung,53.35,3,Customer_948,Male,46-60,Houston
39,2023-04-21,Store_5,Phoenix,South,LED Bulb,Electronics,Apple,343.7,1,Customer_982,Male,36-45,Houston
40,2023-06-22,Store_9,Los Angeles,Central,Jeans,Electronics,Philips,222.88,4,Customer_248,Male,46-60,Phoenix
41,2023-02-22,Store_9,Chicago,South,Jeans,Apparel,Puma,65.41,4,Customer_281,Female,46-60,Houston
42,2023-02-17,Store_4,Chicago,South,Jeans,Beauty,Philips,250.11,2,Customer_591,Female,18-25,Houston
43,2023-07-14,Store_8,Phoenix,East,Laptop,Stationery,LG,22.02,5,Customer_206,Male,60+,New York
44,2023-02-19,Store_6,New York,South,Laptop,Beauty,Puma,455.11,2,Customer_811,Male,36-45,Chicago
45,2023-07-03,Store_6,Los Angeles,East,Sneakers,Electronics,Apple,133.1,2,Customer_128,Male,18-25,Chicago
46,2023-06-26,Store_1,New York,South,Smartphone,Beauty,Colgate,332.95,5,Customer_917,Female,26-35,Phoenix
